# confusion pair table generated 2026-07-07T10:59:34+08:00
# corpus: zaizai_v2_train(480) + zaizai_train(200) + Source/Engine/eval/zai-corpus-v3-supplement.tsv(233); min-count 1, min-bigram-count 2, prior-from-data, threshold 0.5
# sentences=913 occurrences=913 C(在)=427 C(再)=486 alpha=0.5
PAIR	ㄗㄞˋ	在	再
PRIOR	-0.911769
THRESHOLD	0.500000
L	^	1.092097
L	一	0.992779
L	下	1.503604
L	不	-0.741822
L	中	0.992779
L	也	-1.204446
L	了	2.727380
L	事	-0.105833
L	人	-1.951660
L	他	-1.026990
L	以	1.840077
L	任	-1.204446
L	份	0.992779
L	位	-1.204446
L	何	-1.204446
L	作	0.992779
L	你	2.687375
L	來	2.091391
L	們	-1.011542
L	候	0.992779
L	停	-2.051744
L	傷	0.992779
L	像	-1.204446
L	價	1.840077
L	先	-2.303058
L	光	0.992779
L	兒	-1.204446
L	准	0.992779
L	別	0.279829
L	利	-1.204446
L	前	-0.105833
L	剛	-1.715271
L	務	-1.204446
L	勝	-1.204446
L	危	-1.204446
L	又	-2.051744
L	友	-1.715271
L	司	-1.715271
L	吃	0.992779
L	品	0.992779
L	員	-2.303058
L	商	0.992779
L	團	-1.204446
L	在	-1.204446
L	壁	-1.204446
L	天	0.230639
L	夾	-1.715271
L	她	-2.091749
L	好	0.992779
L	妝	0.992779
L	婆	-1.204446
L	媽	-1.715271
L	子	0.741464
L	字	0.992779
L	存	-0.953131
L	孩	-1.715271
L	完	2.602217
L	定	1.840077
L	家	-0.105833
L	實	-1.204446
L	寸	0.992779
L	將	0.992779
L	就	-1.715271
L	山	0.992779
L	市	-1.204446
L	布	1.503604
L	師	-1.572171
L	幕	0.992779
L	底	-1.204446
L	府	0.992779
L	度	1.840077
L	弟	-1.715271
L	很	-1.204446
L	後	2.838606
L	必	0.992779
L	忘	-1.715271
L	性	0.992779
L	想	1.840077
L	我	0.378847
L	戲	0.992779
L	房	-0.105833
L	所	-1.204446
L	手	0.992779
L	拚	0.992779
L	授	-1.715271
L	掉	-1.204446
L	掛	-1.715271
L	播	-1.204446
L	擇	0.992779
L	收	-1.715271
L	放	-3.050272
L	效	0.992779
L	敗	-1.204446
L	料	-0.105833
L	方	-0.105833
L	旨	-1.204446
L	是	-1.715271
L	時	1.503604
L	書	-1.204446
L	最	-1.204446
L	會	0.992779
L	有	0.992779
L	本	-1.204446
L	束	0.992779
L	杯	-1.204446
L	格	0.992779
L	案	-1.204446
L	楚	2.091391
L	機	-1.204446
L	檔	-0.105833
L	權	-1.204446
L	次	1.840077
L	正	-3.716751
L	歷	-1.204446
L	氣	1.503604
L	水	0.992779
L	湯	0.992779
L	準	1.503604
L	潛	-1.204446
L	然	-1.204446
L	煩	0.992779
L	父	-1.204446
L	爸	-1.715271
L	爺	-1.204446
L	片	0.992779
L	班	1.503604
L	現	-1.715271
L	理	-1.204446
L	生	-2.303058
L	留	-2.051744
L	疾	0.992779
L	的	0.404992
L	直	-2.503729
L	禮	-1.204446
L	稿	0.992779
L	空	1.503604
L	管	-1.204446
L	約	1.503604
L	統	-0.105833
L	經	-2.051744
L	綠	0.992779
L	繩	0.992779
L	者	-2.503729
L	能	1.503604
L	腦	-1.204446
L	自	-1.715271
L	色	0.992779
L	行	0.992779
L	裡	0.992779
L	裹	-1.204446
L	西	0.992779
L	要	1.360504
L	覆	0.992779
L	見	0.992779
L	覽	-1.204446
L	言	0.992779
L	設	-1.204446
L	評	-1.204446
L	試	0.992779
L	認	0.992779
L	請	3.557728
L	論	0.992779
L	證	0.992779
L	議	-1.715271
L	貓	-1.204446
L	蹲	-1.204446
L	輸	-1.204446
L	近	-1.204446
L	迫	-1.204446
L	週	0.992779
L	遊	-1.204446
L	過	0.992779
L	道	1.503604
L	遠	-1.204446
L	還	-3.716751
L	都	-2.670783
L	重	-1.204446
L	量	0.992779
L	錄	-1.715271
L	錢	1.503604
L	鍋	-1.204446
L	鐵	0.992779
L	長	-2.051744
L	門	-1.204446
L	開	-1.204446
L	間	1.503604
L	闆	-0.105833
L	院	0.992779
L	隊	-0.616659
L	集	0.992779
L	零	0.992779
L	面	-0.105833
L	音	-1.204446
L	頭	0.992779
L	類	0.992779
L	食	-1.204446
L	飯	0.992779
L	飽	0.992779
L	高	-1.204446
L	麵	-1.204446
L	點	0.992779
L	齊	2.091391
L	，	0.992779
R	#O	-1.190506
R	。	-0.602719
R	一	1.006719
R	三	1.006719
R	上	0.244579
R	下	-0.292564
R	不	1.207390
R	世	-1.190506
R	丟	1.006719
R	乎	-1.190506
R	也	3.669307
R	亮	1.517545
R	他	-2.037804
R	付	1.006719
R	低	-0.091893
R	使	-1.190506
R	來	0.755404
R	便	-0.602719
R	保	-0.091893
R	信	-1.190506
R	修	0.418932
R	做	1.006719
R	停	-1.701331
R	健	-1.701331
R	備	-1.190506
R	催	1.006719
R	傳	0.755404
R	充	-0.091893
R	公	-1.558230
R	冰	-1.190506
R	冷	1.517545
R	出	1.517545
R	分	-0.602719
R	切	1.006719
R	列	-0.091893
R	初	-1.190506
R	制	-1.190506
R	刷	1.006719
R	剪	1.006719
R	創	1.006719
R	加	1.207390
R	包	-0.091893
R	化	-1.190506
R	升	1.006719
R	印	-0.091893
R	即	-1.190506
R	厲	1.006719
R	去	1.006719
R	叫	-1.701331
R	台	-1.701331
R	吃	1.006719
R	合	1.006719
R	同	-1.190506
R	名	-1.190506
R	向	-0.602719
R	吵	-1.190506
R	告	2.105331
R	哪	-1.701331
R	哭	-1.190506
R	唱	1.006719
R	唸	-0.710933
R	問	2.616157
R	啟	1.006719
R	喝	1.517545
R	嚐	1.006719
R	嚴	1.006719
R	回	0.929758
R	圖	-1.190506
R	在	-1.190506
R	地	-1.190506
R	執	-0.091893
R	報	-1.701331
R	場	-1.190506
R	填	1.006719
R	壓	-1.190506
R	外	-1.190506
R	多	1.374444
R	夜	-1.190506
R	夢	-1.190506
R	大	0.755404
R	天	-1.701331
R	太	-1.701331
R	好	1.517545
R	婚	-0.091893
R	嫁	1.006719
R	存	-1.190506
R	學	-2.489789
R	客	-1.190506
R	宣	-0.602719
R	家	-2.289118
R	寄	1.517545
R	審	-0.091893
R	寫	-2.037804
R	專	-1.190506
R	對	-1.190506
R	小	-1.190506
R	巡	1.006719
R	巷	-1.190506
R	帶	1.006719
R	幫	-0.091893
R	平	1.006719
R	幾	-1.190506
R	度	1.006719
R	座	-1.190506
R	廚	-1.701331
R	廣	-1.190506
R	延	1.006719
R	強	-0.091893
R	彙	1.006719
R	形	-0.602719
R	往	1.854017
R	律	-1.190506
R	復	1.006719
R	心	-1.190506
R	忍	-0.091893
R	忘	1.006719
R	忙	-1.190506
R	快	1.517545
R	急	1.006719
R	想	-0.710933
R	意	-1.701331
R	我	-1.701331
R	戶	-1.190506
R	房	-2.289118
R	手	-1.190506
R	打	0.696564
R	找	-0.343208
R	把	1.006719
R	投	-1.190506
R	抱	-1.701331
R	抽	-0.091893
R	拖	1.854017
R	拚	1.006719
R	招	-1.190506
R	拿	1.006719
R	按	1.517545
R	掀	1.006719
R	排	-0.091893
R	接	1.006719
R	推	1.006719
R	揉	1.006719
R	描	-0.602719
R	提	0.495893
R	握	-1.190506
R	搭	1.006719
R	搶	-1.190506
R	撐	1.006719
R	撥	1.517545
R	播	-0.602719
R	擦	1.006719
R	攀	1.006719
R	收	-1.701331
R	改	-0.091893
R	放	1.006719
R	敘	-1.701331
R	教	-0.091893
R	敲	1.006719
R	整	-0.428366
R	敷	-0.091893
R	斟	1.006719
R	於	-1.701331
R	施	-1.190506
R	旁	-1.190506
R	旦	-1.190506
R	明	-1.190506
R	是	1.006719
R	時	-1.190506
R	晚	1.006719
R	普	1.006719
R	景	-1.190506
R	暗	1.006719
R	曬	1.006719
R	更	-0.602719
R	替	-1.190506
R	會	-1.190506
R	有	-1.190506
R	朗	-0.602719
R	望	-1.190506
R	某	-1.190506
R	查	1.006719
R	核	2.105331
R	案	-1.190506
R	桌	-2.037804
R	條	-1.190506
R	樓	-2.037804
R	標	1.006719
R	檢	2.473056
R	櫃	-1.190506
R	次	1.006719
R	正	-1.190506
R	此	-1.701331
R	歷	-1.190506
R	殺	1.006719
R	比	1.006719
R	氣	-1.701331
R	決	1.517545
R	沖	1.006719
R	沙	-1.190506
R	河	-1.190506
R	法	-1.190506
R	泡	1.006719
R	洗	-1.701331
R	浴	-1.701331
R	消	-1.190506
R	淡	1.006719
R	深	1.006719
R	減	-0.091893
R	測	-1.701331
R	準	-2.037804
R	溝	0.418932
R	溫	1.854017
R	滑	1.006719
R	滾	-1.190506
R	演	0.244579
R	澄	-0.091893
R	瀏	1.006719
R	火	-1.190506
R	焉	-1.190506
R	煩	1.006719
R	煮	-0.602719
R	熨	1.006719
R	熬	1.006719
R	熱	1.006719
R	燉	-1.190506
R	燙	1.006719
R	爆	1.006719
R	爭	-1.190506
R	犯	1.006719
R	猜	1.006719
R	猶	1.006719
R	獲	1.006719
R	玄	-1.701331
R	玩	0.418932
